xmin,xmax,words,karTones,emiTones,sarTones,karBreaks,emiBreaks,sarBreaks,karMisc,emiMisc,sarMisc
0,1.16,computerized,H*,L+H*,H*,3,3,3,,,
1.16,1.45,phone,, !H,, 1, 1, 1,,,
1.45,1.94,calls, L-L%, L-L%, H-L% , 4, 4, 4,,,
1.94,2.17,which,,,, 1, 1, 1,,,
2.17,2.31,do,, L+H,, 1, 1, 1,,,
2.31,2.74,everything, H*, H*, H*, 3, 3, 3,,,
2.74,2.96,from,, L*,, 2, 2, 2,,,
2.96,3.34,selling, H*, !H*, H*, 1, 1, 1,,,
3.34,3.86,magazine,, !H*, , 1, 1, 1,,,
3.86,4.73,subscriptions, H-L%, L-L%, H-L%, 4, 4, 4,,,
4.73,4.87,to,,,, 1-, 1-, 1-,,,
4.87,5.34,reminding, H*, L+H, H*, 1, 1, 1,,,
5.34,5.64,people,, !H*,, 1, 1, 1,,,
5.64,5.91,about,, L*,, 1, 1, 1,,,
5.91,6.41,meetings, H* H-L%, H-L%,  H-L%, 4, 4, 4,,,
6.41,6.9,have,,,, 1, 1, 1,,,
6.9,7.34,become, H*, H+L*,, 3-, 3-, 3-,,,
7.34,7.44,the,,, , 1, 1, 1,,,
7.44,7.98,telephone, H*, H*+L, H*, 1, 1,  1,,,
7.98,8.6,equivalent, L-H%,, , 4, 4*,  ,,,
8.6,8.74,of,, L*,, 1, 1, 1,glottalization f0 error,glottalization f0 error, glottalization
8.74,9.070001,junk, L*,,, 1, 1, ,,, f0 error
9.070001,9.52,mail, L-L%, L-L%,  H-L%, 4, 4, 4,,,
9.52,10.02,But,,,, 0, 0, 0,,,
10.02,10.08,a,,,, 1-, 1-, 1-,,,
10.08,10.29,new, H*, L+H*, H*, 1, 1, 1,,,
10.29,10.950001,application,, L*, , 3-, 3-, 3-,,,
10.950001,11.04,of,,,, 1-, 1-, 1-,,,
11.04,11.14,the,,,, 1-, 1-, 1-,,,
11.14,11.88,technology, L-H%, L+!H*, , 4, 4*, ,,,
11.88,12.030001,is,,,, 1, 1, 1,,,
12.030001,12.25,about, H*, !H*,, 1, 1, 1,,,
12.25,12.360001,to,,,, 1-, 1-, 1-,,,
12.360001,12.48,be,,,, 1, 1, 1,,,
12.48,12.78,tried,, !H*, !H*, 0, 0, 0,,,
12.78,12.95,out,,,, 1, 1, 1,,,
12.95,13.070001,in,,, , 1, 1, 1,,,
13.070001,13.95,Massachusetts, H-L*, !H-L%, H-L%, 4, 4, 4,,,
13.95,14.41,to,,,, 1, 1, 1,,,
14.41,14.73,ease,, H+H,, 2-, 2-, 2-,,,
14.73,15.09,crowded, H*, H*, H*, 1, 4, ,,,
15.09,15.42,jail, !H*, !H*,, 1, 4, ,,,
15.42,16.17,conditions, L-L%, L-L%, H-L%, 4, 4, 4,,,
16.17,16.880001,Next, H*, H*,, 1, 1, 1,,,
16.880001,17.059999,week, !H*, !H+L, H*, 3, 3, 3,,,
17.059999,17.259998,some,, L*,, 1, 1, 1,,,
17.259998,17.860001,inmates, H* L-H%, !H-L%, , 4, 4, ,,,
17.860001,18.280001,released, H*, L+H*, H*, 2-, 2-, 2-,,,
18.280001,18.700001,early, !H* H-L%, !H*, , 4, 4*, ,,,
18.700001,18.959999,from,,,, 1, 1, 1,,,
18.959999,19.07,the,, L*,, 2-, 2-, 2-,,,
19.07,19.540001,Hampton, H*, !H*,, 2-, 2-, 2-,,,
19.540001,19.93,county,, !H*,, 1, 1, 1,,,
19.93,20.23,jail,, !H*,, 1-, 1-, 1-,,,
20.23,20.360001,in,,,, 1, 1, 1,,,
20.360001,21.07,Springfield, H* L-L%, !H-L%,  H-L%, 4, 4, 4,,,
21.07,21.5,will,, L+H,, 1, 1, 1,,,
21.5,21.619999,be,,,, 1, 1, 1,,,
21.619999,21.98,wearing, H*, H*, H*, 1-, 1-, 1-,,,
21.98,22.049999,a,,,, 1-, 1-, 1-,,,
22.049999,22.93,wristband, H*, H*-L%, H*, 4, 4, ,,,
22.93,23.02,that,,,, 1, 1, 1,,,
23.02,23.32,hooks,, L+H,, 1, 1, 1,,,
23.32,23.540001,up,,,, 3-, 3-, 3-,,,
23.540001,23.68,with,,,, 1-, 1-, 1-,,,
23.68,23.75,a,,,, 1, 1, 1,,,
23.75,24.209999,special, H*, L+H*, !H*, 1, 1, 1, f0 error, f0 error, f0 error
24.209999,24.720001,jack, !H* L-H%, H-L%, , 4, 4, ,,,
24.720001,25,on,,,, 1, 1, 1,,,
25,25.120001,their,, L+L*,, 1, 1, 1,,,
25.120001,25.450001,home, L*,, , 1, 1, 1,,,
25.450001,26.099998,phones, L-L%, H-L%, H-L%, 4, 4, 4,,,
26.099998,26.84,Whenever,, L*+H,, 3-, 3-, 3-, late f0?, late f0?, late f0?
26.84,26.870001,a,,,, 1-, 1-, 1-,,,
26.870001,27.49,computer, H* L-H%, H*+L, L*,,,,,,
27.49,28.059999,randomly, H*, !H*,, 4 1, 4* 1, 4 1,,,
28.059999,28.459999,calls, H*, !H*, H*, 1, 1, 1,,,
28.459999,28.639999,them,,,, 3, 3, 3,,,
28.639999,28.85,from,, L*,, 1, 1, 1,,,
28.85,29.25,jail, H* L-H%, H-L%, L-H%, 4, 4, 4,,,
29.25,29.68,the,, L+H,, 1, 1, 1,,,
29.68,30.08,former, H*, H*,, 3, 3, 3,,,
30.08,30.59,prisoner, !H* L-H%, !H*,, 4, 4, 4,,,
30.59,31.030001,plugs, H*, !H*, H*, 1, 1, 1,,,
31.030001,31.33,in, L-H%, !H-L%, H-H%, 4, 4, 4,,,
31.33,31.720001,to,,,, 1, 1, 1,,,
31.720001,31.9,let, H*,,, 2-, 2-, 2-,,,
31.9,32.43,corrections, H*, H+H*, H*, 1, 1, 1,,,
32.43,32.900002,officials,, L*,, 3, 3*, 3,,,
32.900002,33.240002,know, L-H%, L+!H,, 4, 4*, 4,,,
33.240002,33.510002,they're,,,, 1, 1, 1,,,
33.510002,33.66,in,,,, 1, 1, 1,,,
33.66,33.760002,the,,,, 1, 1, 1,,,
33.760002,34.09,right, H*, L+!H, H* , 1, 1, 1,,,
34.09,34.700001,place, !H* H-L%, H-L%, !H* H-L%, 4, 4, 4,,,
34.700001,35,at,, L*,, 1, 1, 1,,,
35,35.09,the,,,, 1, 1, 1,,,
35.09,35.419998,right, L*, H*, L*, 1, 1, 1,,,
35.419998,35.869999,time, L* L-L%, L-L%, L-L%, 4, 4, 4,,,
35.869999,36.709999,Margo, H*, L+H*, H*, 1, 1, 1,,,
36.709999,37.41,Melnicove, !H* L-H%, !H+L*,, 4, 4*, 4, f0 error - creak, f0 error - creak, f0 error - creak
37.41,38.079998,reports, L* L-L%, !H-L%, H-L%, 4, 4, 4,,,
